Event,Latitude (Decimal deg),Longitude (Decimal deg),Station,Depth (m),Label,Source,YOUR DATA mean (units),YOUR DATA sd (units),Comments,,
1003,48.817,231.334,P8,1500,318,Niskin,,,,,
1003,48.817,231.334,P8,1500,319,Niskin,,,,,
1003,48.817,231.334,P8,1000,320,Niskin,,,,,
1003,48.817,231.334,P8,1000,321,Niskin,,,,,
1003,48.817,231.334,P8,1000,322,Niskin,,,,,
1003,48.817,231.334,P8,1000,323,Niskin,,,,,
1003,48.817,231.334,P8,1000,324,Niskin,,,,,
1003,48.817,231.334,P8,750,325,Niskin,,,,,
1003,48.817,231.334,P8,750,326,Niskin,,,,,
1003,48.817,231.334,P8,500,327,Niskin,,,,,
1003,48.817,231.334,P8,500,328,Niskin,,,,,
1003,48.817,231.334,P8,300,329,Niskin,,,,,
1003,48.817,231.334,P8,300,330,Niskin,,,,,
1003,48.817,231.334,P8,300,331,Niskin,,,,,
1003,48.817,231.334,P8,300,332,Niskin,,,,,
1003,48.817,231.334,P8,300,333,Niskin,,,,,
1003,48.817,231.334,P8,300,334,Niskin,,,,,
1003,48.817,231.334,P8,300,335,Niskin,,,,,
1003,48.817,231.334,P8,300,336,Niskin,,,,,
1005,48.817,231.334,P8,200,337,Niskin,,,,,
1005,48.817,231.334,P8,200,338,Niskin,,,,,
1005,48.817,231.334,P8,150,339,Niskin,,,,,
1005,48.817,231.334,P8,150,340,Niskin,,,,,
1005,48.817,231.334,P8,150,341,Niskin,,,,,
1005,48.817,231.334,P8,150,342,Niskin,,,,,
1005,48.817,231.334,P8,150,343,Niskin,,,,,
1005,48.817,231.334,P8,125,344,Niskin,,,,,
1005,48.817,231.334,P8,125,345,Niskin,,,,,
1005,48.817,231.334,P8,100,346,Niskin,,,,,
1005,48.817,231.334,P8,100,347,Niskin,,,,,
1005,48.817,231.334,P8,70,348,Niskin,,,,,
1005,48.817,231.334,P8,70,349,Niskin,,,,,
1005,48.817,231.334,P8,70,350,Niskin,,,,,
1005,48.817,231.334,P8,70,351,Niskin,,,,,
1005,48.817,231.334,P8,70,352,Niskin,,,,,
1005,48.817,231.334,P8,70,353,Niskin,,,,,
1005,48.817,231.334,P8,70,354,Niskin,,,,,
1005,48.817,231.334,P8,70,355,Niskin,,,,,
1005,48.817,231.334,P8,70,356,Niskin,,,,,
1005,48.817,231.334,P8,70,357,Niskin,,,,,
1005,48.817,231.334,P8,50,358,Niskin,,,,,
1005,48.817,231.334,P8,50,359,Niskin,,,,,
1005,48.817,231.334,P8,50,360,Niskin,,,,,
1006,48.817,231.334,P8,33,361,Niskin,,,,,
1006,48.817,231.334,P8,33,362,Niskin,,,,,
1006,48.817,231.334,P8,33,363,Niskin,,,,,
1006,48.817,231.334,P8,33,364,Niskin,,,,,
1006,48.817,231.334,P8,33,365,Niskin,,,,,
1006,48.817,231.334,P8,33,366,Niskin,,,,,
1006,48.817,231.334,P8,33,367,Niskin,,,,,
1006,48.817,231.334,P8,33,368,Niskin,,,,,
1006,48.817,231.334,P8,33,369,Niskin,,,,,
1006,48.817,231.334,P8,33,370,Niskin,,,,,
1006,48.817,231.334,P8,33,371,Niskin,,,,,
1006,48.817,231.334,P8,33,372,Niskin,,,,,
1006,48.817,231.334,P8,33,373,Niskin,,,,,
1006,48.817,231.334,P8,33,374,Niskin,,,,,
1006,48.817,231.334,P8,33,375,Niskin,,,,,
1006,48.817,231.334,P8,33,376,Niskin,,,,,
1006,48.817,231.334,P8,33,377,Niskin,,,,,
1006,48.817,231.334,P8,20,378,Niskin,,,,,
1006,48.817,231.334,P8,20,379,Niskin,,,,,
1006,48.817,231.334,P8,5,380,Niskin,,,,,
1006,48.817,231.334,P8,5,381,Niskin,,,,,
1006,48.817,231.334,P8,5,382,Niskin,,,,,
1006,48.817,231.334,P8,5,383,Niskin,,,,,
1006,48.817,231.334,P8,5,384,Niskin,,,,,
1007,48.817,231.334,P8,33,385,Niskin,,,,,
1007,48.817,231.334,P8,33,386,Niskin,,,,,
1007,48.817,231.334,P8,33,387,Niskin,,,,,
1007,48.817,231.334,P8,33,388,Niskin,,,,,
1007,48.817,231.334,P8,33,389,Niskin,,,,,
1007,48.817,231.334,P8,33,390,Niskin,,,,,
1007,48.817,231.334,P8,33,391,Niskin,,,,,
1007,48.817,231.334,P8,33,392,Niskin,,,,,
1007,48.817,231.334,P8,33,393,Niskin,,,,,
1007,48.817,231.334,P8,33,394,Niskin,,,,,
1007,48.817,231.334,P8,33,395,Niskin,,,,,
1007,48.817,231.334,P8,33,396,Niskin,,,,,
1007,48.817,231.334,P8,33,397,Niskin,,,,,
1007,48.817,231.334,P8,33,398,Niskin,,,,,
1007,48.817,231.334,P8,33,399,Niskin,,,,,
1007,48.817,231.334,P8,33,400,Niskin,,,,,
1007,48.817,231.334,P8,33,401,Niskin,,,,,
1007,48.817,231.334,P8,33,402,Niskin,,,,,
1007,48.817,231.334,P8,33,403,Niskin,,,,,
1007,48.817,231.334,P8,33,404,Niskin,,,,,
1007,48.817,231.334,P8,33,405,Niskin,,,,,
1007,48.817,231.334,P8,33,406,Niskin,,,,,
1007,48.817,231.334,P8,33,407,Niskin,,,,,
1007,48.817,231.334,P8,33,408,Niskin,,,,,
1009,48.743,232.333,P6,45,432,Niskin,,,,,
1009,48.743,232.333,P6,55,431,Niskin,,,,,
1009,48.743,232.333,P6,65,430,Niskin,,,,,
1009,48.743,232.333,P6,70,429,Niskin,,,,,
1009,48.743,232.333,P6,75,428,Niskin,,,,,
1009,48.743,232.333,P6,200,427,Niskin,,,,,
1009,48.743,232.333,P6,200,426,Niskin,,,,,
1009,48.743,232.333,P6,300,425,Niskin,,,,,
1009,48.743,232.333,P6,300,424,Niskin,,,,,
1009,48.743,232.333,P6,300,423,Niskin,,,,,
1009,48.743,232.333,P6,300,422,Niskin,,,,,
1009,48.743,232.333,P6,300,421,Niskin,,,,,
1009,48.743,232.333,P6,300,420,Niskin,,,,,
1009,48.743,232.333,P6,500,419,Niskin,,,,,
1009,48.743,232.333,P6,750,418,Niskin,,,,,
1009,48.743,232.333,P6,750,417,Niskin,,,,,
1009,48.743,232.333,P6,1000,416,Niskin,,,,,
1009,48.743,232.333,P6,1000,415,Niskin,,,,,
1009,48.743,232.333,P6,1000,414,Niskin,,,,,
1009,48.743,232.333,P6,1500,413,Niskin,,,,,
1009,48.743,232.333,P6,2000,412,Niskin,,,,,
1009,48.743,232.333,P6,2000,411,Niskin,,,,,
1009,48.743,232.333,P6,2000,410,Niskin,,,,,
1009,48.743,232.333,P6,2000,409,Niskin,,,,,
1011,48.743,232.333,P6,45,433,Niskin,,,,,
